,Reference values used to calculate amounts in US$ (Based on the average price of each product in May 2020 in Alibaba.com):
normal masks,0.40 US$ per unit
N-95 Masks,2.00 US$ per unit
Quick Covid19 tests,60 US$ per unit
Ventilators,45000 US$ per unit
Military hospital,20000000 US$
Defibrillator,2000 US$ per unit
Doppler ultrasound,2500 US$ per unit
Ambulance,30000 US$ per unit
Multiparameter monitor,450 US$ per unit
Cleaning products kit,20 US$ per unit
Latex gloves,20 US$ per 1000
Sterile protective suits (mamelukes),15 US$ per unit
Goggles,1.5 US$ per unit
Infrared termometer,15 US$ per unit
Alcohol gel (100ml),0.8 US$
Alcohol gel (1000ml),2.3 US$
Disposable foot cover,1 US$ per 50 pairs
Electric bed (Fowler),200 US$ per unit
Thermic bed,1000 US$ per unit
Huawei mediapad t3,150 US$ per unit
temperature monitoring camera (Dahua),720 US$ per unit
Lunch kit,6 US$ per unit
Food basket,20 US$ per unit
Huawei artificial intelligence diagnostic aid system,150000 US$
Visor,0.8 US$ per unit
Food box,30 US$ per unit
